day ratio
1 2.0
2 2.0
3 1.0
4 1.5
5 1.6666666666666667
6 1.2
7 1.1666666666666667
8 1.5714285714285714
9 1.1818181818181819
10 1.1538461538461537
11 1.4666666666666666
12 1.2727272727272727
13 1.25
14 1.4
15 1.3265306122448979
16 1.2461538461538462
17 1.3333333333333333
18 1.3518518518518519
19 1.226027397260274
20 1.312849162011173
21 1.3361702127659574
22 1.2611464968152866
23 1.3257575757575757
24 1.318095238095238
25 1.2919075144508672
26 1.3053691275167785
27 1.3161953727506426
28 1.2936197916666667
29 1.2989431303472572
30 1.3142192948469587
31 1.2951061320754718
32 1.2997951286137037
33 1.312784588441331
34 1.2996264674493063
35 1.3030178608088687
36 1.3061288797857256
37 1.3046441495778045
38 1.300263510702233
39 1.304700277323473
40 1.3052921299324176
41 1.299567840664732
42 1.3057126333376172
43 1.304461231821649
44 1.3014789104353732
45 1.3050192770385831
46 1.304147670163319
47 1.3026438489740129
48 1.3036460274187538
49 1.3042972413205154
50 1.302982475027491
