day ratio
1 2.0
2 2.0
3 1.5
4 1.5
5 1.4444444444444444
6 1.3846153846153846
7 1.3888888888888888
8 1.36
9 1.3529411764705883
10 1.3478260869565217
11 1.3225806451612903
12 1.3414634146341464
13 1.3363636363636364
14 1.3945578231292517
15 1.5073170731707317
16 1.5016181229773462
17 1.5086206896551724
18 1.5271428571428571
19 1.6903648269410665
20 1.5904814609850582
21 1.5045233124565065
22 1.446345975948196
23 1.431403901503038
24 1.427502234137623
25 1.4141951639408405
26 1.3990150509074812
27 1.3989241783016255
28 1.3999830359919703
29 1.404576298570159
30 1.4078563315072827
31 1.411377214931318
32 1.4437859546293281
33 1.478844650267637
34 1.488167014047752
35 1.4773881477365374
36 1.4622955620982536
37 1.4903751179326084
38 1.472739142551184
39 1.4510349915065428
40 1.432712128293084
41 1.427056951753864
42 1.4332115972997912
43 1.4333996582999167
44 1.4269717753434499
45 1.427351182988416
46 1.432400909990689
47 1.4402851995507169
48 1.4442713359552017
49 1.4425356888269207
50 1.4510523972222664
